LotArea,TotalBsmtSF,BedroomAbvGr,GarageCars,SalePrice
21000,1809,3,2,217000
7259,1028,3,1,259500
3230,729,2,2,176000
11616,1092,3,1,139000
8536,1125,2,2,155000
12376,1673,5,3,320000
8461,728,3,2,163990
21453,938,1,2,180000
6060,732,3,1,100000
9464,1080,3,1,136000
7892,1199,2,2,153900
17043,1362,3,2,181000
6780,520,2,0,84500
4928,1078,2,2,128000
4388,672,3,0,87000
7590,660,3,2,155000
8973,1008,3,2,150000
14200,924,4,2,226000
12224,992,3,2,244000
7388,1063,3,2,150750
6853,1267,2,2,220000
10335,1461,3,2,180000
10400,1304,3,2,174000
10355,1214,3,1,143000
11070,1907,5,3,171000
9066,1004,3,3,230000
15426,928,3,2,231500
10500,864,3,0,115000
11645,1734,3,2,260000
8520,910,4,2,166000
10335,1490,3,2,204000
9100,1728,6,2,125000
2522,970,3,2,130000
6120,715,2,1,105000
9505,884,3,2,222500
7500,1080,3,0,141000
6240,896,3,1,115000
10356,969,3,2,122000
13891,1710,2,3,372402
14803,825,4,2,190000
13500,1602,1,2,235000
11340,1200,4,1,125000
9600,572,2,0,79000
7200,0,2,2,109500
12003,774,4,3,269500
12552,991,3,2,254900
19378,1392,4,2,320000
11120,1232,3,2,162500
13688,1572,3,3,412500
12182,1541,3,2,220000
5500,882,1,0,103200
5400,1149,3,1,152000
10106,644,4,0,127500
10708,1617,2,1,190000
10562,1582,3,3,325624
8244,840,3,2,183500
16669,1686,2,2,228000
12358,720,2,2,128500
31770,1080,3,2,215000
5306,1064,2,2,239000
10197,1362,3,2,163000
12416,1606,3,2,184000
12615,1202,4,2,243000
10029,1151,4,2,211000
13650,1052,4,2,172500
17423,2216,1,3,501837
8520,968,2,2,100000
2117,756,3,2,177000
7588,793,4,1,200100
9060,0,3,1,120000
11426,1362,3,2,200000
7438,504,3,2,127000
22950,1107,4,3,475000
9947,1188,3,2,173000
10410,660,3,1,135000
7018,1086,2,2,153337
4923,1593,0,2,286000
10570,853,3,2,315000
7472,725,4,2,184000
9017,1431,3,2,192000
2522,970,3,2,130000
7180,864,3,1,127000
2280,855,3,2,148500
9416,1726,3,3,311872
25419,1360,4,2,235000
5520,755,5,0,104000
9591,1713,3,3,274900
8546,1121,2,2,140000
10125,1196,3,2,171500
7000,617,2,1,112000
4438,848,1,2,149000
3500,720,2,1,110000
11851,1424,3,2,180500
13673,1140,3,1,143900
12493,1100,3,1,141000
14364,1157,3,2,277000
8250,1092,3,2,145000
5604,864,2,0,98000
10420,1212,3,2,186000
8640,900,3,2,252678
13568,990,3,2,156000
10900,689,3,1,161750
10011,1070,2,1,134450
8450,1436,3,2,210000
9906,686,3,1,107000
15660,798,3,2,311500
3010,1248,2,2,167240
8990,1498,2,2,204900
8068,1010,4,2,200000
11475,713,3,2,179900
10500,864,2,2,97000
13472,2392,3,3,386250
1680,630,3,1,112000
9950,1203,4,3,290000
1869,483,2,1,106000
8521,912,3,1,125000
3182,1373,2,2,192500
8760,1194,3,1,148000
15138,1462,4,3,403000
1680,483,2,1,94500
10650,894,3,1,128200
7851,860,4,2,216500
1680,483,2,1,89500
8773,1414,3,2,185500
9453,996,3,2,194500
12030,1694,3,3,318000
8741,735,3,1,113000
9000,1566,3,2,262500
3880,686,2,0,110500
5000,540,3,1,79000
10762,626,3,1,120000
8880,948,3,2,205000
10400,1845,3,2,241500
9142,1020,4,1,137000
11310,1367,2,2,140000
11317,840,3,2,180000
159000,1444,4,2,277000
5350,728,3,0,76500
4750,1573,2,2,235000
8366,798,3,2,173000
9350,1302,3,1,158000
8400,1314,3,1,145000
8738,975,4,2,230000
8791,864,3,2,207500
8814,1604,3,2,220000
12435,963,3,2,231500
12702,0,2,1,97000
19296,1362,3,2,176000
9588,1482,3,3,276000
8471,506,3,2,151000
5500,926,3,2,130000
5232,680,2,2,73000
12090,1422,3,2,175500
11207,802,3,2,185000
8400,720,4,1,179500
6900,740,2,1,120500
7917,1143,3,1,148000
10728,1095,3,3,266000
39104,1385,2,2,241500
11764,1152,4,3,290000
9600,1240,3,1,139000
8314,816,2,1,124500
7264,952,3,2,205000
9196,1560,3,2,201000
19138,864,2,2,141000
14450,2121,3,3,415298
10005,1160,4,2,192000
11287,807,3,2,228500
7200,1262,2,2,185000
5063,1314,2,2,207500
9612,1468,3,3,244600
8012,1575,2,2,179200
4251,625,2,2,164700
9786,912,3,2,159000
8125,858,3,0,88000
9819,882,3,1,122000
8730,698,3,1,153575
15611,1079,3,2,233230
5687,780,6,0,135900
11409,768,3,1,131000
16659,795,3,2,235000
9600,1416,3,2,167000
7937,1003,3,2,142500
13710,910,4,1,152000
7399,975,3,2,239000
11700,702,3,2,175000
14000,1092,3,1,158500
15750,1165,2,1,157000
16226,1028,4,2,267000
13704,1541,3,3,205000
9800,894,3,2,149900
18386,1470,3,3,295000
10386,2000,3,3,305900
13474,700,4,3,225000
7920,319,3,0,89500
12342,861,1,2,82500
12378,1896,3,3,360000
7685,697,3,2,165600
8000,972,2,1,132000
7800,793,3,2,119900
215245,2136,3,2,375000
9600,728,3,2,178000
7795,716,3,2,188500
13005,845,4,2,260000
9000,1088,3,3,270000
9900,1347,4,3,260000
14115,1372,3,2,187500
16259,1249,4,3,342643
12099,1136,4,3,354000
10380,1502,4,2,301000
5820,1162,3,1,126175
11275,710,5,2,242000
5000,720,2,2,87000
10846,1719,1,2,324000
11600,1383,3,1,145250
11888,844,5,2,214500
6402,596,3,1,78000
10624,1728,6,1,119000
8176,1056,3,1,139000
10655,3206,3,3,284000
8198,1358,2,2,207000
9042,943,3,2,192000
164660,1499,3,2,228950
14157,1922,3,3,377426
9135,1536,3,2,214000
14145,1208,3,2,202500
12400,1215,3,1,155000
14191,967,4,2,202900
8400,721,2,1,82000
8544,0,2,2,87500
8849,1684,2,2,266000
2592,536,3,1,85000
6435,972,3,1,140200
12772,958,2,1,151500
17600,1478,3,2,157500
2448,764,2,2,154000
20431,1848,4,3,437154
7820,1869,2,2,318061
5271,1453,2,2,190000
9084,616,3,1,95000
8520,624,2,2,105900
8400,940,2,1,140000
11249,1200,3,2,177500
9248,1158,3,2,173000
4224,1142,3,2,134000
6930,1062,3,1,130000
12011,1086,3,2,280000
7540,888,2,2,156000
9144,883,3,1,145000
7301,0,4,2,198500
1680,483,2,1,118000
18800,796,3,2,190000
10690,672,3,1,147000
9500,1394,3,2,159000
9150,1099,3,1,165000
7800,1268,2,1,132000
9830,1063,3,2,162000
8121,953,3,2,172400
17120,0,4,2,134432
7175,744,2,1,125000
10634,608,3,1,123000
8200,847,4,2,219500
10020,683,1,0,61000
8846,870,2,2,148000
11143,1580,4,2,340000
11394,1856,1,3,394432
8123,982,3,2,179000
5000,1026,3,1,127000
7200,1293,2,2,187750
9245,939,3,2,213500
9000,784,2,2,76000
53107,1580,3,2,240000
3182,1256,2,2,192000
8410,658,5,0,81000
7200,1041,3,1,125000
9382,1468,3,2,191000
12474,1682,3,3,426000
8405,861,4,1,119000
12209,804,3,2,215000
8339,0,3,1,106500
7446,788,2,0,100000
10134,735,2,1,109000
9571,1144,3,1,129000
7200,894,2,2,123000
7590,864,4,1,169500
8967,961,2,1,67000
8125,1092,2,2,241000
14963,1260,1,2,245500
8767,1310,3,2,164990
10200,672,2,1,108000
12090,1141,4,2,258000
10364,806,3,2,168000
9991,1281,3,2,150000
10480,1064,3,1,115000
15576,840,4,1,177000
14154,1063,3,3,280000
10800,1034,3,3,339750
9571,1276,3,1,60000
34650,1056,3,2,145000
4403,1470,2,2,222000
8960,1008,2,2,115000
11228,1080,3,3,228000
8899,1340,3,2,181134
7844,672,3,2,149500
22420,1370,4,3,239000
8160,756,3,1,126000
8450,1056,3,1,142000
7060,1344,2,4,206300
16635,1602,3,2,215000
21750,988,2,2,113000
9200,1470,4,3,315000
9000,1196,2,1,139000
3378,651,3,1,135000
12800,1518,2,2,275000
8593,907,3,1,109008
6762,1208,2,2,195400
11457,1392,3,2,175000
1680,483,2,1,85400
5586,901,4,0,79900
1920,765,2,2,122500
10839,926,3,2,181000
1890,630,1,0,81000
10667,799,3,2,212000
4400,648,2,2,116000
6000,884,2,1,119000
4280,440,2,1,90350
12354,684,3,2,110000
15431,3094,2,3,555000
12108,1440,4,0,118000
6240,1078,3,2,162900
3922,1258,2,3,172500
8750,915,4,2,210000
9855,1436,3,2,127500
16492,1517,2,2,190000
11214,930,4,2,199900
8600,780,3,1,119500
6000,649,2,1,120000
5684,813,2,1,110000
70761,1533,2,2,280000
9303,872,3,2,204000
9000,768,3,2,210000
9297,1728,4,2,188000
9600,1242,3,2,175500
4571,624,4,3,98000
53227,1364,2,2,256000
5100,588,3,1,161000
7015,709,3,1,110000
8004,832,3,2,263435
7200,560,3,2,155000
8281,864,3,1,62383
11988,715,3,1,188700
8430,1040,3,0,124000
3072,1375,2,2,178740
10628,1277,2,2,167000
9480,728,3,1,146500
11428,1626,3,3,250000
9291,832,3,2,187000
6820,1488,1,2,212000
11952,808,3,2,190000
3675,547,2,2,148000
14977,1976,2,3,440000
5330,1494,2,2,251000
8480,970,2,2,132500
13125,1478,3,2,208900
13693,2153,3,3,380000
10637,1705,3,3,297000
5925,907,2,2,89471
16033,1833,3,3,326000
11846,1792,2,3,374000
2500,910,4,1,155000
4500,1216,2,2,164000
7758,999,3,1,132500
9600,1113,3,1,147000
10289,1073,3,2,156000
12243,1484,3,2,175000
10800,954,3,2,160000
1526,630,1,1,86000
2665,264,3,1,115000
9490,806,3,1,133000
15578,728,3,2,172785
7931,1269,3,1,155000
5784,190,2,1,91300
7879,720,2,0,34900
12692,3200,4,2,430000
9120,1026,4,1,184000
7800,864,3,1,130000
7535,912,2,1,120000
1890,672,3,1,113000
9803,866,3,2,226700
9170,1214,2,2,140000
15602,1501,1,2,289000
2308,855,3,2,147000
7596,960,4,2,124500
9554,777,3,2,215000
7862,1218,2,2,208300
9600,689,3,2,161000
9600,1041,3,1,124500
14559,1008,2,1,164900
6792,1368,2,2,202665
9100,864,3,2,129900
9187,1084,3,2,134000
10594,768,2,1,96500
12220,2006,3,3,402861
10448,689,3,2,158000
10208,1264,3,3,265000
9531,794,3,2,211000
10918,1276,3,1,234000
10800,0,3,0,106250
11988,1244,3,1,150000
5000,1004,3,2,159000
40094,3138,3,3,184750
11787,1379,3,3,315750
7500,1257,3,2,176000
13300,928,2,1,132000
14948,1452,3,3,446261
9098,528,2,0,86000
32668,2035,4,2,200624
10200,1461,3,2,175000
6155,611,3,2,128000
7200,0,2,1,107500
5000,0,1,0,39300
9056,707,3,2,178000
7000,1117,3,0,107500
8924,880,3,2,188000
12735,864,3,2,111250
11553,1051,3,1,158000
11423,1581,3,2,272000
14601,1838,2,3,315000
11000,969,4,3,248000
10140,1650,3,2,213250
4058,723,1,1,133000
17104,654,3,2,179665
13837,1204,4,3,229000
8737,1065,3,2,210000
7244,768,2,2,129500
8235,825,2,2,125000
9375,912,4,2,263000
4043,1069,2,2,140000
6000,928,3,1,112500
11146,1709,3,3,255500
8777,0,2,2,108000
10625,998,3,3,284000
6380,993,2,1,113000
14850,1092,2,1,141000
11040,637,3,1,108000
21872,729,3,2,175000
3196,1374,2,2,234000
11341,1392,3,2,121500
10010,1389,2,2,170000
13907,996,3,0,108000
21780,1163,4,2,185000
13346,1095,4,2,268000
6858,806,4,1,128000
11198,1122,4,3,325000
10171,1517,3,2,214000
12327,1496,1,2,316600
7032,943,2,2,135960
13101,1728,6,2,142600
7332,864,2,1,120000
13159,846,3,2,224500
9967,384,3,2,170000
10500,372,3,1,139000
8480,832,2,1,118500
6292,861,3,1,145000
11777,1164,3,2,164500
3604,689,2,2,146000
12150,1050,4,1,131500
14585,1144,3,2,181900
12704,2042,3,3,253293
11841,816,3,0,118500
13500,1237,3,2,325000
6120,884,3,1,133000
11443,1868,2,3,369900
10267,816,2,1,130000
8740,840,2,2,137000
25095,1437,1,1,143000
9100,742,2,1,79500
8320,770,3,2,185900
13478,1722,3,3,451950
6600,816,2,2,138000
4435,848,1,2,140000
7990,924,3,1,110000
11302,1814,3,3,319000
3600,684,3,1,114504
3922,1258,2,3,194201
12984,1430,3,2,217500
1950,716,3,2,151000
10927,1058,3,2,275000
9000,780,3,1,141000
10041,908,3,2,220000
3182,600,2,2,151000
12803,1494,3,2,221000
13600,768,3,2,205000
12464,1040,3,2,152000
7800,896,3,1,225000
12168,965,4,2,359100
7943,1029,3,1,118500
11050,1440,3,3,313000
10395,1032,3,2,148000
11885,1299,3,2,261500
8402,1120,3,0,147000
1491,630,1,0,75500
8800,936,3,2,137500
7861,783,3,2,183200
7227,832,2,2,105500
11694,1822,3,3,314813
12244,1482,4,3,305000
8248,864,2,0,67000
10800,1522,4,2,240000
7064,980,3,2,135000
2117,756,2,2,168500
10400,732,4,2,165150
10000,1116,3,2,160000
12342,978,3,1,139900
9600,1156,3,1,153000
11606,1040,5,2,135000
9020,1248,3,2,168500
9000,636,3,1,124000
4590,1554,2,2,209500
11900,1386,3,2,82500
9250,1056,3,1,139400
6979,1056,0,2,144000
10896,1440,8,0,200000
6120,264,1,0,60000
6000,811,3,1,93000
8777,796,2,0,85000
3982,1520,1,3,264561
12677,1518,1,2,274000
7050,1057,3,2,226000
13860,1952,4,2,345000
10793,780,4,2,152000
9187,1766,2,3,370878
10530,981,3,2,143250
7200,0,3,2,98300
10452,1094,3,2,155000
7700,756,4,2,155000
1936,630,1,0,84500
8125,813,3,2,205950
9084,755,4,1,108000
8750,880,2,2,191000
10320,756,3,1,135000
10437,2109,2,3,350000
1680,525,3,1,88000
10007,1053,3,1,145500
7200,776,3,1,149000
17503,912,3,1,97500
9937,1486,3,2,167000
12384,793,3,2,197900
46589,1629,4,3,402000
13560,1392,2,2,110000
10012,1138,3,2,137500
20896,2077,1,3,423000
11194,1406,3,2,230500
18450,1021,3,2,129000
8125,1408,3,2,193500
14175,1188,3,2,168000
11600,700,2,1,137500
8633,738,3,2,173500
6629,672,3,1,103600
11250,1208,3,2,165000
14442,1477,3,2,257500
9200,1136,3,1,140000
2289,855,3,2,148500
9600,1095,4,3,87000
9022,768,2,1,109500
11844,2046,3,3,372500
9945,988,3,2,128500
8012,923,2,1,143000
4500,793,3,1,159434
2887,1291,2,2,173000
11248,1626,3,3,285000
16770,1195,4,2,221000
5062,1190,3,2,207500
10207,874,3,2,227875
5105,551,2,2,148800
8089,1419,2,2,392000
7577,1362,2,2,194700
4426,848,1,2,141000
21535,2444,4,3,755000
26178,1210,4,2,335000
5400,1073,2,1,108480
6120,927,3,2,141500
13811,1112,2,2,176000
6000,616,2,1,89000
6420,980,2,1,123500
8450,894,3,1,138500
4282,1391,2,2,196000
14331,1800,3,3,312500
9600,1164,3,2,140000
12438,1234,4,3,361919
7630,360,4,2,140000
8400,1473,3,2,213000
5600,0,3,0,55000
115149,1643,2,2,302000
6240,1324,2,2,254000
9018,728,3,2,179540
7162,876,3,1,109900
4130,270,2,0,52000
8712,859,2,1,102776
4671,1228,2,2,189000
9873,960,3,2,129000
13517,725,3,2,130500
10140,1064,3,2,165000
10800,718,3,2,159500
10000,1176,3,2,157000
10542,1311,3,3,341000
9920,971,3,1,128500
6563,1742,2,2,275000
4426,848,1,2,143000
8120,864,3,2,124500
8172,941,4,1,135000
13286,1698,3,3,320000
6960,864,3,2,120500
21695,880,3,2,222000
7314,1232,2,2,194500
11475,1584,4,3,110000
6240,780,2,2,103000
5389,1595,2,2,236500
9590,868,3,2,187500
11404,1153,3,2,222500
10000,864,3,1,131400
8978,948,3,1,108000
10800,880,2,2,163000
8544,0,2,2,93500
10463,893,3,3,239900
10800,1200,3,0,179000
9313,864,3,2,190000
9600,264,2,2,132000
6768,912,3,1,142000
8450,1349,3,2,179000
12886,520,3,2,175000
5395,1337,2,2,180000
8963,1142,4,2,299800
8795,952,4,2,236000
11700,1240,4,4,265979
10593,1720,3,2,260400
8405,0,4,1,98000
8800,576,3,0,96500
7750,660,3,2,162000
9236,1479,3,2,217000
10240,1030,3,3,275500
7930,1026,3,2,156000
3230,729,3,2,172500
10769,866,3,2,212000
11616,672,3,2,158900
2280,744,3,2,179400
12257,1318,4,3,290000
9100,864,2,1,127500
6911,1145,2,2,100000
8640,756,3,2,215200
9430,1252,3,3,337000
9549,1494,2,2,270000
14587,1498,2,2,264132
10421,980,3,2,196500
12508,983,4,1,160000
9100,1860,3,2,216837
53504,1650,4,3,538000
7252,858,2,2,134900
8877,836,2,2,102000
7819,1029,3,2,107000
10150,912,2,1,114500
14226,1935,3,3,395000
4500,1204,2,2,162000
11210,1614,3,3,221500
13350,864,3,2,142500
8400,0,4,2,144000
10530,975,2,2,135000
7875,1237,3,2,176000
7153,761,3,2,175900
16285,1413,3,2,187100
9101,1097,1,2,165500
6300,742,3,0,128000
9790,1372,3,2,161500
10800,686,4,1,139000
10142,956,4,2,233000
6000,901,2,1,107900
12205,832,5,2,187500
3182,1145,2,2,160200
11333,1029,3,2,146800
9920,1117,3,2,269790
9158,1496,3,2,225000
10832,712,3,2,194500
8400,650,3,2,171000
8197,660,3,2,143500
7677,773,2,1,110000
13518,1926,4,3,485000
7200,731,3,1,175000
12798,616,4,2,200000
4800,1196,2,2,109900
8199,728,3,2,189000
13891,1734,4,3,582933
9000,936,2,1,118000
12274,1417,3,2,227680
9750,980,3,1,135500
21384,1324,3,2,223500
13400,1024,3,2,159950
8100,849,2,2,106000
10140,1040,3,2,181000
4438,848,1,2,144500
8712,540,2,2,55993
9750,1442,4,1,157900
8248,686,3,1,116000
12137,1649,3,2,224900
11425,1008,2,1,137000
13265,1568,3,3,271000
8816,1010,3,2,155000
6371,1358,2,2,224000
7226,798,3,2,183000
6000,936,2,2,93000
12394,847,3,2,225000
9900,778,3,1,139500
11216,1489,3,2,232600
14803,2078,2,3,385000
6130,784,2,0,109500
8529,1454,3,2,189000
28698,1013,3,2,185000
2544,600,2,2,147400
11900,1392,3,2,166000
3180,600,2,2,151000
9548,941,3,2,237000
10004,1516,3,2,167000
7875,1144,3,2,139950
9600,1067,2,2,128000
8100,1559,2,2,153500
1680,483,2,1,100000
9525,1099,3,1,144000
11767,768,3,1,130500
12155,672,4,1,140000
10440,650,3,2,157500
9020,1127,3,2,174900
8000,1800,6,0,141000
12665,876,4,3,153900
16647,1390,3,2,171000
9317,740,3,2,213000
15523,864,3,1,133500
45600,907,5,2,240000
9600,528,3,2,187000
4435,848,1,2,131500
3196,1273,2,2,215000
7128,918,4,1,164000
12095,1127,3,2,158000
17920,1763,3,2,170000
6897,1040,3,1,127000
10970,940,3,2,147000
8125,702,3,2,174000
10400,1090,3,2,152000
11029,1054,4,2,250000
7642,912,3,1,189950
11625,1039,3,2,131500
9672,1040,3,2,152000
7931,1148,3,1,132500
8640,1372,3,2,250580
8750,1002,3,2,148500
10656,1638,3,3,248900
6970,1040,3,2,129000
14762,0,2,2,169000
9938,1050,3,2,236000
6600,894,2,1,109500
8750,804,3,2,200500
8892,105,3,2,116000
12144,832,3,1,133000
5720,676,3,1,66500
9000,1184,4,2,303477
25286,1064,3,2,132250
8834,1462,4,3,350000
11782,1109,3,2,148000
7000,864,3,1,136500
7024,1090,2,2,157000
13758,1156,3,2,187500
9636,808,3,2,178000
6204,795,5,1,118500
7150,892,3,1,100000
5119,1698,2,2,328900
8393,1626,4,2,145000
16466,816,3,1,135500
15865,2217,4,2,268000
12160,1505,2,2,149500
8064,672,3,2,122900
11184,918,3,2,172500
8414,1059,3,1,154500
13284,1383,3,1,165000
7018,0,4,2,118858
7056,780,4,2,140000
8765,951,2,1,106500
7018,0,6,2,142953
12919,2330,2,3,611657
6993,912,3,1,135000
7340,858,2,1,110000
8712,992,2,1,153000
7875,783,3,2,180000
14859,1670,3,3,240000
6173,876,3,1,125500
9920,1056,3,1,128000
13501,1623,3,3,255000
11500,1017,3,1,250000
8885,864,2,2,131000
12589,742,3,2,174000
11600,1105,5,2,154300
9286,1268,3,1,143500
6120,768,3,1,88000
6270,1001,4,3,145000
3000,612,2,2,173733
2001,546,3,1,75000
9000,480,1,1,35311
17140,1134,3,1,135000
13125,1104,4,3,238000
11029,1184,3,2,176500
8462,928,3,2,201000
8777,1272,4,0,145900
10237,1316,3,2,169990
8012,1604,2,2,193000
10240,1686,3,2,207500
15611,1126,3,2,175000
11999,1181,4,3,285000
9900,832,4,2,176000
11838,1753,3,2,236500
13006,964,4,2,222000
8925,1466,3,3,201000
9100,925,2,1,117500
11670,1905,3,3,320000
8487,1500,3,2,190000
27650,585,4,2,242000
5825,600,1,2,79900
10083,1176,2,2,184900
9675,1113,3,2,253000
8760,1391,3,3,239799
24090,1032,4,1,244400
12640,1728,4,2,150900
8755,992,3,2,214000
7711,1440,4,0,150000
25000,1632,4,2,143000
14375,819,3,2,137500
8820,1088,2,2,124900
8163,1144,3,1,143000
14536,1616,3,3,270000
14006,936,3,2,192500
9360,1161,3,2,197500
7200,864,3,2,129000
7800,828,3,1,119900
7200,768,2,1,133900
11075,784,4,2,172000
9400,945,4,0,127500
7136,979,4,2,145000
1300,561,2,2,124000
7420,1057,3,2,132000
8450,1337,3,2,185000
2572,696,3,2,155000
7207,858,2,0,116500
12227,1330,4,2,272000
2308,804,3,2,155000
11923,1800,2,2,239000
11316,817,4,2,214900
10237,783,3,2,178900
9600,728,2,1,160000
7390,1098,3,1,135000
5925,600,2,0,37900
10382,588,2,1,140000
10800,720,4,0,135000
2268,764,2,2,173000
7892,918,2,1,99500
11639,1428,3,2,182000
11414,728,3,2,167500
2651,673,3,2,165000
5900,440,2,0,85500
4274,1241,1,2,199900
9450,894,3,2,110000
8816,1121,3,2,139000
12122,944,3,2,178400
12203,1225,4,3,336000
3182,1266,2,2,159895
11250,1128,4,2,255900
10125,0,4,2,126000
10880,1164,3,1,125000
5310,485,2,1,117000
10159,1930,3,3,395192
12046,848,4,2,195000
8125,770,3,2,197000
9452,1396,3,3,348000
17671,916,4,2,168000
9760,822,3,2,187000
8846,750,3,2,173900
12456,1700,3,3,337500
4712,747,3,1,121600
10659,1050,3,1,136500
11717,1442,2,2,185000
9786,1007,3,1,91000
6762,1187,2,2,206000
10206,0,2,2,82000
5400,691,2,1,86000
11957,1574,3,3,232000
11500,1680,4,2,136905
3182,1346,1,2,181000
8385,985,3,1,149900
12155,1657,3,2,163500
2217,546,3,1,88000
12118,1710,3,2,240000
6000,1008,4,0,102000
21286,720,4,1,135000
9825,0,4,0,100000
10592,602,3,1,165000
7200,1022,2,1,85000
11664,1082,2,1,119200
8400,810,3,2,227000
11883,1504,3,2,203000
5814,1220,1,2,187500
10784,384,3,2,160000
3013,1362,2,2,213490
7024,1132,2,2,176000
7406,1199,2,2,194000
9439,912,2,1,87000
3182,1346,2,2,191000
15498,1565,2,2,287000
7700,882,3,2,112500
9300,1268,3,2,167500
9520,1638,3,3,293077
9492,768,3,1,105000
1680,672,3,1,118000
7082,686,5,0,160000
15863,824,5,2,197000
14541,1338,5,3,310000
8125,1654,3,3,230000
6305,920,2,1,119750
11500,0,3,1,84000
12898,1620,2,3,315500
9240,1055,3,2,287000
1533,546,3,0,97000
1477,630,1,1,80000
13125,1134,3,2,155000
9130,800,4,2,173000
5381,1306,1,2,196000
11839,1475,4,2,262280
9600,2524,4,2,278000
13680,0,4,2,139600
16056,1992,4,3,556581
9245,990,3,2,145000
21750,0,3,2,115000
11100,0,2,1,84900
8993,1302,3,2,176485
11175,1316,3,2,200141
9500,816,4,2,165000
8562,1216,4,1,144500
11367,1065,3,2,255000
11361,1193,3,2,180000
7052,1364,2,2,185850
29959,973,3,2,248000
11308,1104,3,3,335000
11275,854,3,2,220000
4920,1338,2,2,213500
18000,894,2,3,81000
13600,662,5,2,90000
6000,1103,2,2,110500
11000,1154,3,2,154000
14000,1306,3,2,328000
7837,799,3,2,178000
9760,780,4,2,167900
3964,942,5,2,151400
9600,845,2,2,135000
10152,1048,3,1,135000
11700,727,4,2,154000
7585,810,4,1,91500
7950,690,3,2,159500
8556,1240,2,3,194000
13125,800,3,1,219500
10800,796,3,2,170000
15870,1096,3,1,138800
4435,848,1,2,155900
8775,990,3,1,126000
11040,1258,3,2,145000
7500,1040,3,1,133000
8749,1459,3,2,192000
8800,1251,3,1,160000
13031,691,3,2,187500
9069,936,2,2,147000
1974,546,3,1,83500
10574,1082,3,3,252000
2522,970,3,2,137500
3316,1247,1,2,197000
8544,0,2,2,92900
2160,600,2,2,160000
8400,1181,4,2,136500
9230,864,1,2,146000
5868,936,2,1,129000
9317,1314,3,2,176432
6882,684,3,0,127000
3696,1074,2,2,170000
6000,672,3,1,128000
11880,1271,3,2,157000
8400,290,1,1,60000
9758,950,3,1,119500
7000,1010,2,1,135000
8910,655,3,2,159500
2016,630,3,2,106000
12256,1463,3,2,325000
10357,910,3,2,179900
23257,868,3,2,274725
8063,924,3,2,181000
11362,1836,3,3,280000
8000,773,3,2,188000
10480,803,4,2,205000
7100,816,2,1,129900
